high arousal,low arousal,medium arousal,medium dominance,low dominance,high dominance,high valence,low valence,medium valence,examples,hedges,self references
,,ruler,recruit,,,,,striptease,,,
,,ruling,recruitment,,,,,strive,,,
,,rum,rectify,,,,,stroke,,,
,,rumba,rectory,,,,,stroll,,,
,,rumble,recurring,,,,,stroller,,,
,,rummage,recycled,,,,,stronghold,,,
,,rump,red,,,,,structural,,,
,,rumpus,redeem,,,,,structure,,,
,,runaway,redesign,,,,,strudel,,,
,,rundown,redneck,,,,,strut,,,
,,runner,redo,,,,,stub,,,
,,running shoes,reduce,,,,,stubby,,,
,,runny,redundancy,,,,,stud,,,
,,runt,reef,,,,,studio,,,
,,runway,reel,,,,,study,,,
,,rust,reelection,,,,,stuff,,,
,,rustic,reenactment,,,,,stump,,,
,,rustle,ref,,,,,stun,,,
,,rustler,refer,,,,,stunner,,,
,,rye,referee,,,,,stunning,,,
,,saber,reference,,,,,stunt,,,
,,saboteur,referral,,,,,stuntman,,,
,,sack,refinement,,,,,sturdy,,,
,,sacrament,reflection,,,,,styling,,,
,,sacrifice,reform,,,,,stylish,,,
,,sacrilegious,refrain,,,,,stylist,,,
,,sage,refuge,,,,,suave,,,
,,sailor,refute,,,,,sub,,,
,,sainted,regenerate,,,,,subatomic,,,
,,salami,regime,,,,,subcommittee,,,
,,salesgirl,regimen,,,,,subconscious,,,
,,saliva,regimental,,,,,subdivision,,,
,,salon,regional,,,,,subdural,,,
,,saloon,registry,,,,,subject,,,
,,salt,regulate,,,,,subjective,,,
,,salted,regulator,,,,,sublet,,,
,,saltwater,rehabilitate,,,,,sublevel,,,
,,salty,rehabilitation,,,,,sublime,,,
,,salute,rehash,,,,,subliminal,,,
,,salvage,rehearsal,,,,,submarine,,,
,,salve,reign,,,,,submerge,,,
,,samba,reigning,,,,,submersible,,,
,,sanctimonious,reinforce,,,,,submission,,,
,,sanction,reinforcement,,,,,submissive,,,
,,sanctity,reinstate,,,,,submit,,,
,,sanctum,relate,,,,,subordinate,,,
,,sand,relation,,,,,subscribe,,,
,,sandbox,relative,,,,,subscriber,,,
,,sandman,relativity,,,,,subscription,,,
,,sandstorm,relay,,,,,subsequent,,,
,,sanitation,relentless,,,,,subside,,,
,,sanity,relevance,,,,,subsidiary,,,
,,sap,relic,,,,,subspace,,,
,,sarcophagus,religion,,,,,substance,,,
,,sardine,relish,,,,,substantial,,,
,,sash,relive,,,,,substantiate,,,
,,sassafras,reload,,,,,substation,,,
,,satchel,relocate,,,,,substitute,,,
,,satin,relocation,,,,,substitution,,,
,,satire,reluctance,,,,,subterranean,,,
,,saturated,rely,,,,,subtext,,,
,,saturation,remainder,,,,,subtitle,,,
,,satyr,remaining,,,,,subtle,,,
,,saucer,remarry,,,,,subtlety,,,
,,sauerkraut,remedial,,,,,subtract,,,
,,sauna,reminiscent,,,,,suburb,,,
,,sausage,remote,,,,,suburban,,,
,,savage,removal,,,,,suburbia,,,
,,savannah,renal,,,,,subversive,,,
,,savant,render,,,,,subway,,,
,,saw,rendition,,,,,succession,,,
,,sawmill,renegade,,,,,successor,,,
,,sax,renegotiate,,,,,sucker,,,
,,saxophone,renounce,,,,,suction,,,
,,say,renovation,,,,,suds,,,
,,scaffold,rent,,,,,suede,,,
,,scale,rental,,,,,suffice,,,
,,scalpel,reopen,,,,,sufficient,,,
,,scamp,rep,,,,,suggest,,,
,,scampi,repair,,,,,suggestion,,,
,,scan,repairman,,,,,suggestive,,,
,,scanner,repay,,,,,suit,,,
,,scatter,repellent,,,,,suitable,,,
,,scenery,repent,,,,,suitcase,,,
,,scepter,repentance,,,,,suitor,,,
,,schedule,repentant,,,,,sulfate,,,
,,schematic,repetition,,,,,sulfur,,,
,,schlep,repetitive,,,,,sully,,,
,,schmuck,replace,,,,,sultan,,,
,,schnapps,replacement,,,,,sum,,,
,,schnitzel,replay,,,,,summarize,,,
,,scholar,replica,,,,,summary,,,
,,school,replicate,,,,,summation,,,
,,schoolgirl,report,,,,,summit,,,
,,schooling,reposition,,,,,summon,,,
,,schoolteacher,represent,,,,,sumo,,,
,,schoolwork,representation,,,,,sundial,,,
,,scientific,representative,,,,,sundown,,,
,,scientist,Representative,,,,,sunken,,,
,,scissors,reprieve,,,,,sunscreen,,,
,,scone,reproach,,,,,suntan,,,
,,scoop,reproduce,,,,,sunup,,,
,,scoot,reproductive,,,,,sup,,,
,,scooter,reprogram,,,,,superficial,,,
,,scope,republic,,,,,superfluous,,,
,,scoreboard,reputation,,,,,superintendent,,,
,,scorer,reputed,,,,,superiority,,,
,,scotch,request,,,,,supermodel,,,
,,scour,require,,,,,supernatural,,,
,,scourge,requisition,,,,,superposition,,,
,,scout,reread,,,,,superstar,,,
,,scrabble,rerun,,,,,superstition,,,
,,scramble,rescind,,,,,superstitious,,,
,,scrambled,resemblance,,,,,superstore,,,
,,scrambler,resemble,,,,,supervise,,,
,,scrap,reservation,,,,,supervision,,,
,,scrapbook,reserve,,,,,supervisor,,,
,,scrappy,reside,,,,,supple,,,
,,scratch,residency,,,,,supplement,,,
,,scrawny,residue,,,,,supplemental,,,
,,screen,resign,,,,,supplier,,,
,,screening,resignation,,,,,supply,,,
,,screenplay,resilient,,,,,supporter,,,
,,screenwriter,resin,,,,,suppose,,,
,,screwball,resist,,,,,supposed,,,
,,screwdriver,resistant,,,,,supreme,,,
,,screwy,resonance,,,,,surf,,,
,,scribble,resounding,,,,,surface,,,
,,script,respiration,,,,,surfboard,,,
,,scroll,respiratory,,,,,surfer,,,
,,scrotum,respite,,,,,surge,,,
,,scrub,response,,,,,surgeon,,,
,,scruffy,responsive,,,,,surgical,,,
,,scrutiny,restitution,,,,,surly,,,
,,scuba,restrain,,,,,surname,,,
,,scullery,restroom,,,,,surplus,,,
,,sculptor,resume,,,,,surrogate,,,
,,scuttle,resuscitate,,,,,surround,,,
,,seaboard,resuscitation,,,,,survey,,,
,,seam,retail,,,,,sushi,,,
,,seaman,retake,,,,,suspend,,,
,,search,rethink,,,,,suspense,,,
,,searchlight,retina,,,,,suspension,,,
,,seatbelt,retinal,,,,,sustain,,,
,,seaweed,retrace,,,,,sustenance,,,
,,secluded,retract,,,,,suture,,,
,,second,retraction,,,,,suv,,,
,,second cousin,retreat,,,,,swab,,,
,,secondary,retrial,,,,,swag,,,
,,secondhand,retrieve,,,,,swallow,,,
,,secret,retro,,,,,swami,,,
,,secretary,retroactive,,,,,swamp,,,
,,Secretary of State,rev,,,,,swank,,,
,,sect,revel,,,,,swap,,,
,,section,revelation,,,,,swat,,,
,,sector,reverent,,,,,sway,,,
,,secular,reversal,,,,,sweat,,,
,,sedan,reverse,,,,,sweater,,,
,,sedate,revert,,,,,sweatshirt,,,
,,sedation,review,,,,,sweaty,,,
,,sedative,revise,,,,,sweep,,,
,,sedition,revisit,,,,,sweeper,,,
,,see,revolt,,,,,sweeten,,,
,,seeds,revolutionary,,,,,swell,,,
,,seedy,revolving,,,,,swerve,,,
,,seek,revue,,,,,swift,,,
,,seeker,rewind,,,,,swig,,,
,,seer,rewire,,,,,swill,,,
,,segment,rewrite,,,,,swimmer,,,
,,seismic,rhetoric,,,,,swimsuit,,,
,,seize,rhetorical,,,,,swinger,,,
,,select,rhinestone,,,,,swipe,,,
,,selection,rhino,,,,,swish,,,
,,selective,rhinoceros,,,,,switch,,,
,,sell,rickshaw,,,,,switchboard,,,
,,seller,ricochet,,,,,swivel,,,
,,semantics,riddance,,,,,swoon,,,
,,semblance,riddle,,,,,swoop,,,
,,semen,ride,,,,,sword,,,
,,semester,rider,,,,,swordfish,,,
,,semi,ridge,,,,,swordplay,,,
,,seminar,riff,,,,,swordsman,,,
,,seminary,rift,,,,,syllable,,,
,,senator,rig,,,,,syllabus,,,
,,Senator,righteous,,,,,symbiotic,,,
,,send,righteousness,,,,,symbol,,,
,,senior,righty,,,,,symbolize,,,
,,seniority,rigor,,,,,symmetrical,,,
,,senor,rim,,,,,symmetry,,,
,,sensation,ringer,,,,,sympathize,,,
,,sense,ringside,,,,,symposium,,,
,,sensibility,rink,,,,,symptomatic,,,
,,sensitive,ripe,,,,,synagogue,,,
,,sensor,rippling,,,,,synapse,,,
,,sensory,rite,,,,,synaptic,,,
,,sentient,ritual,,,,,sync,,,
,,sentiment,ritualistic,,,,,synchronize,,,
,,sentimentality,rival,,,,,syndicate,,,
,,sentinel,rivalry,,,,,syndrome,,,
,,sentry,riverbed,,,,,synergy,,,
,,separate,riveting,,,,,synonymous,,,
,,sequel,road,,,,,synthesizer,,,
,,sergeant,roadhouse,,,,,synthetic,,,
,,serialize,roadie,,,,,system,,,
,,series,roadside,,,,,systematic,,,
,,serious,roast,,,,,tab,,,
,,seriousness,roasted,,,,,tabasco,,,
,,serum,robot,,,,,tabernacle,,,
,,servant,robotic,,,,,table,,,
,,serve,robotics,,,,,tablecloth,,,
,,server,rocket,,,,,tablet,,,
,,sesame,roe,,,,,tabloid,,,
,,session,rogue,,,,,taboo,,,
,,settle,role,,,,,tack,,,
,,settlement,roll,,,,,tackle,,,
,,setup,roman,,,,,tact,,,
,,seven,rooftop,,,,,tactful,,,
,,seventeen,roomful,,,,,tactic,,,
,,seventy,roommate,,,,,tactical,,,
,,severance,rooms,,,,,tad,,,
,,sew,roost,,,,,tadpole,,,
,,sewing,rooster,,,,,taffy,,,
,,shabby,root,,,,,tag,,,
,,shack,root beer,,,,,tail,,,
,,shadowy,rope,,,,,tailgate,,,
,,shaft,rosary,,,,,taillight,,,
,,shag,rotary,,,,,tailor,,,
,,shaker,rotate,,,,,tailpipe,,,
,,shall,rotation,,,,,take,,,
,,shaman,rouge,,,,,takeoff,,,
,,shameless,roundup,,,,,talcum,,,
,,shape,rouse,,,,,tale,,,
,,shard,route,,,,,talent,,,
,,sharpen,rove,,,,,talisman,,,
,,shaver,roving,,,,,talkative,,,
,,shawl,row,,,,,talker,,,
,,shear,rowdy,,,,,tally,,,
,,sheath,rowing,,,,,talon,,,
,,shed,royalty,,,,,tambourine,,,
,,sheik,rubber,,,,,tame,,,
,,sheriff,ruddy,,,,,tamer,,,
,,sherry,ruff,,,,,tan,,,
,,shield,ruffle,,,,,tang,,,
,,shift,rugby,,,,,tangible,,,
,,shilling,rugged,,,,,tangle,,,
,,shin,ruling,,,,,tango,,,
,,shiner,rumba,,,,,tank,,,
,,shingle,rumble,,,,,tank top,,,
,,shining,rummage,,,,,tanker,,,
,,ship,rump,,,,,tap,,,
,,shipment,rumpus,,,,,tape,,,
,,shipping,runaway,,,,,tape measure,,,
,,shipshape,runner,,,,,tapestry,,,
,,shipyard,running shoes,,,,,tapioca,,,
,,shocker,runway,,,,,taps,,,
,,shoddy,rustic,,,,,tar,,,
,,shoes,rustle,,,,,target,,,
,,shop,rustler,,,,,tarmac,,,
,,shopkeeper,rye,,,,,tarot,,,
,,shopper,saber,,,,,tarp,,,
,,shoreline,saboteur,,,,,tarry,,,
,,short story,sack,,,,,tart,,,
,,shortcut,sacrifice,,,,,tartar,,,
,,shorthand,sage,,,,,task,,,
,,shorts,sailor,,,,,tassel,,,
,,shortstop,sainted,,,,,tattoo,,,
,,shortwave,salesgirl,,,,,taupe,,,
,,shovel,saliva,,,,,taut,,,
,,show,salon,,,,,tavern,,,
,,showboat,salt,,,,,tawdry,,,
,,showcase,salted,,,,,tawny,,,
,,showroom,saltwater,,,,,taxi,,,
,,shred,salty,,,,,taxicab,,,
,,shrew,salvage,,,,,taxpayer,,,
,,shrewd,salve,,,,,teal,,,
,,shrine,samba,,,,,team,,,
,,shrink,sanctimonious,,,,,teammate,,,
,,shrivel,sanction,,,,,teamwork,,,
,,shroud,sanctity,,,,,teapot,,,
,,shrug,sand,,,,,tease,,,
,,shudder,sandbox,,,,,teaspoon,,,
,,shuffle,sandman,,,,,tech,,,
,,shuffleboard,sandstorm,,,,,technical,,,
,,shuffling,sap,,,,,technicality,,,
,,shunt,sarcophagus,,,,,technician,,,
,,shut,sardine,,,,,techno,,,
,,shutter,sash,,,,,technological,,,
,,shuttle,sassafras,,,,,technology,,,
,,shy,satchel,,,,,tee,,,
,,sickle,satin,,,,,teeming,,,
,,sidearm,satire,,,,,teen,,,
,,sidebar,saturated,,,,,teenage,,,
,,sideburns,saturation,,,,,teenager,,,
,,sidecar,satyr,,,,,teens,,,
,,sidekick,saucer,,,,,teensy,,,
,,sideline,sauerkraut,,,,,teeny,,,
,,sideshow,sauna,,,,,teeth,,,
,,sidewalk,savannah,,,,,telegram,,,
,,sidewinder,savant,,,,,telegraph,,,
,,sift,saw,,,,,telekinesis,,,
,,sighting,sawmill,,,,,telemetry,,,
,,signal,sax,,,,,telepathic,,,
,,significance,saxophone,,,,,telepathy,,,
,,signify,scaffold,,,,,telephone,,,
,,silence,scale,,,,,teletype,,,
,,silencer,scamp,,,,,televised,,,
,,silicon,scampi,,,,,tell,,,
,,silicone,scan,,,,,teller,,,
,,sill,scanner,,,,,temp,,,
,,silvery,scenery,,,,,temper,,,
,,similar,scepter,,,,,temperament,,,
,,simulate,schematic,,,,,temperamental,,,
,,simulated,schlep,,,,,temperance,,,
,,simulation,schmuck,,,,,temperature,,,
,,simulator,schnapps,,,,,tempest,,,
,,simultaneous,schnitzel,,,,,template,,,
,,single,scholar,,,,,temple,,,
,,sink,school,,,,,tempo,,,
,,sinker,schoolgirl,,,,,temporal,,,
,,sir,schooling,,,,,temporary,,,
,,sire,schoolteacher,,,,,tempt,,,
,,sisterhood,schoolwork,,,,,temptation,,,
,,site,scientific,,,,,tempting,,,
,,situation,scone,,,,,temptress,,,
,,sixpence,scoop,,,,,ten,,,
,,sixteen,scoot,,,,,tenacious,,,
,,sixty,scooter,,,,,tenant,,,
,,sizzle,scope,,,,,tend,,,
,,ska,scoreboard,,,,,tendency,,,
,,skateboard,scotch,,,,,tenderfoot,,,
,,skater,scour,,,,,tendon,,,
,,skedaddle,scourge,,,,,tenement,,,
,,skeet,scout,,,,,tennis,,,
,,skeleton,scramble,,,,,tenor,,,
,,sketch,scrambled,,,,,tent,,,
,,sketchy,scrambler,,,,,tentative,,,
,,skewer,scrap,,,,,tenure,,,
,,skid,scrappy,,,,,tepee,,,
,,skim,scratch,,,,,tequila,,,
,,skimpy,screen,,,,,term,,,
,,skinny,screenplay,,,,,terminal,,,
,,skip,screenwriter,,,,,terminator,,,
,,skirt,screwball,,,,,terminology,,,
,,skit,screwdriver,,,,,terrace,,,
,,skittish,screwy,,,,,terrain,,,
,,skyline,scribble,,,,,terrier,,,
,,slam,script,,,,,territorial,,,
,,slammer,scroll,,,,,territory,,,
,,slang,scrotum,,,,,test,,,
,,slant,scrub,,,,,testament,,,
,,slayer,scruffy,,,,,testicle,,,
,,sleek,scuba,,,,,testicular,,,
,,sleepover,sculptor,,,,,testify,,,
,,sleet,scuttle,,,,,testimonial,,,
,,sleigh,seaboard,,,,,testimony,,,
,,slender,seam,,,,,testosterone,,,
,,slice,seaman,,,,,tether,,,
,,slick,search,,,,,textbook,,,
,,slicker,searchlight,,,,,textile,,,
,,slider,seatbelt,,,,,texture,,,
,,slight,seaweed,,,,,thatch,,,
,,sling,secluded,,,,,thaw,,,
,,slinky,second,,,,,theater,,,
,,slip,secondary,,,,,theatrical,,,
,,slipper,secret,,,,,theatrics,,,
,,slit,Secretary of State,,,,,theme,,,
,,sliver,sect,,,,,theology,,,
,,slogan,section,,,,,theoretical,,,
,,slope,sector,,,,,theory,,,
,,slot,secular,,,,,therapeutic,,,
,,slouch,sedan,,,,,therapist,,,
,,slugger,sedate,,,,,therapy,,,
,,slump,sedition,,,,,thermal,,,
,,slurp,see,,,,,thermometer,,,
,,slush,seeds,,,,,thermos,,,
,,small,seedy,,,,,thermostat,,,
,,smarten,seeker,,,,,thesis,,,
,,smear,seer,,,,,thick,,,
,,smidgen,segment,,,,,thicket,,,
,,smirk,seize,,,,,thickness,,,
,,smock,select,,,,,thigh,,,
,,smudge,sell,,,,,thin,,,
,,smuggle,seller,,,,,thing,,,
,,snafu,semantics,,,,,thingy,,,
,,snag,semblance,,,,,third,,,
,,snakeskin,semester,,,,,thirst,,,
,,snap,semi,,,,,thirsty,,,
,,snapper,seminar,,,,,thirteen,,,
,,snappy,seminary,,,,,thirty,,,
,,snapshot,senator,,,,,thistle,,,
,,snare,Senator,,,,,thong,,,
,,snatch,send,,,,,thorough,,,
,,sneaker,senior,,,,,thoroughfare,,,
,,sneeze,sensation,,,,,thoughtless,,,
,,sniff,sensitive,,,,,thread,,,
,,snip,sensor,,,,,three,,,
,,snoopy,sensory,,,,,threesome,,,
,,snorkel,sentient,,,,,threshold,,,
,,snort,sentiment,,,,,thrift,,,
,,snout,sentimentality,,,,,thriller,,,
,,snowboard,sentinel,,,,,thriving,,,
,,snowboarder,sentry,,,,,throat,,,
,,snowplow,sequel,,,,,throes,,,
,,soapbox,serialize,,,,,throne,,,
,,soapy,series,,,,,throttle,,,
,,sober,serious,,,,,throw,,,
,,sobriety,seriousness,,,,,throwback,,,
,,soccer,serum,,,,,thrower,,,
,,socialism,servant,,,,,thrust,,,
,,socialist,server,,,,,thruster,,,
,,socialite,sesame,,,,,thud,,,
,,socialize,session,,,,,thumb,,,
,,society,settlement,,,,,thumbprint,,,
,,sociology,setup,,,,,thump,,,
,,socket,seven,,,,,thumper,,,
,,soda,seventeen,,,,,thunder,,,
,,sodium,seventy,,,,,thunderbolt,,,
,,softball,sew,,,,,thunderclap,,,
,,solar,shack,,,,,thunderstorm,,,
,,sole,shaft,,,,,thyroid,,,
,,solicitation,shag,,,,,tiara,,,
,,solidarity,shaker,,,,,tibia,,,
,,solitaire,shall,,,,,tic,,,
,,solo,shaman,,,,,ticker,,,
,,solution,shameless,,,,,ticket,,,
,,solve,shape,,,,,tickle,,,
,,sonar,sharpen,,,,,ticklish,,,
,,songwriter,shaver,,,,,tidal,,,
,,sonic,shawl,,,,,tidal wave,,,
,,sonnet,shear,,,,,tidings,,,
,,soot,sheath,,,,,tidy,,,
,,sophomore,shed,,,,,tie,,,
,,soprano,sheik,,,,,tier,,,
,,sorcerer,sherry,,,,,tiger,,,
,,sorcery,shift,,,,,tighten,,,
,,sorority,shilling,,,,,tightrope,,,
,,sorry,shin,,,,,tights,,,
,,soundtrack,shiner,,,,,tile,,,
,,sour,shingle,,,,,tilt,,,
,,source,shining,,,,,timber,,,
,,south,ship,,,,,time,,,
,,southbound,shipment,,,,,timeless,,,
,,southeast,shipping,,,,,timely,,,
,,southpaw,shipshape,,,,,timeout,,,
,,sovereign,shipyard,,,,,timer,,,
,,sovereignty,shoddy,,,,,times,,,
,,soviet,shop,,,,,timetable,,,
,,sow,shopkeeper,,,,,timing,,,
,,spaceman,shopper,,,,,tin,,,
,,spacious,shoreline,,,,,tinfoil,,,
,,spade,short story,,,,,tingle,,,
,,spandex,shortcut,,,,,tinker,,,
,,spaniel,shorthand,,,,,tinkle,,,
,,spar,shortstop,,,,,tinkling,,,
,,spare,show,,,,,tinsel,,,
,,spastic,showboat,,,,,tiny,,,
,,spatial,showcase,,,,,tipper,,,
,,spatter,showroom,,,,,tipster,,,
,,spawn,shred,,,,,tipsy,,,
,,speak,shrew,,,,,tiptoe,,,
,,speaker,shrine,,,,,tire,,,
,,spear,shroud,,,,,tired,,,
,,spec,shrug,,,,,tireless,,,
,,specialist,shuffle,,,,,tiresome,,,
,,specialize,shuffleboard,,,,,tissue,,,
,,specialty,shuffling,,,,,tit,,,
,,species,shunt,,,,,titan,,,
,,specify,shut,,,,,titanic,,,
,,speck,shutter,,,,,titanium,,,
,,speckled,shuttle,,,,,title,,,
,,spectacle,shy,,,,,toad,,,
,,spectator,sickle,,,,,toaster,,,
,,spectral,sidearm,,,,,toasty,,,
,,speculate,sidebar,,,,,toddler,,,
,,speculation,sideburns,,,,,toe,,,
,,speech,sidecar,,,,,toenail,,,
,,speechless,sidekick,,,,,toffee,,,
,,speedy,sideline,,,,,tofu,,,
,,spell,sideshow,,,,,toga,,,
,,spelling,sift,,,,,togetherness,,,
,,spend,sighting,,,,,token,,,
,,spender,significance,,,,,tolerable,,,
,,sperm,signify,,,,,tolerant,,,
,,sphere,silicone,,,,,tolerate,,,
,,sphincter,sill,,,,,tomahawk,,,
,,sphinx,silvery,,,,,tomato,,,
,,spin,similar,,,,,tomatoes,,,
,,spinach,simulate,,,,,tomcat,,,
,,spindle,simulated,,,,,tome,,,
,,spinner,simulation,,,,,ton,,,
,,spinster,simulator,,,,,tone,,,
,,spiritual,simultaneous,,,,,toner,,,
,,splat,single,,,,,tongs,,,
,,spleen,sir,,,,,tongue,,,
,,splice,sire,,,,,tonic,,,
,,spokesperson,sisterhood,,,,,tool,,,
,,sponge,site,,,,,toolbox,,,
,,sponsor,situation,,,,,toot,,,
,,sponsorship,sixpence,,,,,tooth,,,
,,spool,sixteen,,,,,toothbrush,,,
,,spoon,sixty,,,,,toothpaste,,,
,,sporting,sizzle,,,,,toothpick,,,
,,sportsman,ska,,,,,toots,,,
,,sportswriter,skateboard,,,,,top,,,
,,sporty,skater,,,,,topaz,,,
,,spotless,skedaddle,,,,,topic,,,
,,spotlight,skeet,,,,,topical,,,
,,spotty,skeleton,,,,,topless,,,
,,spousal,sketchy,,,,,topple,,,
,,spray,skewer,,,,,topside,,,
,,spread,skid,,,,,torch,,,
,,spreader,skim,,,,,torque,,,
,,spree,skimpy,,,,,torrent,,,
,,sprite,skinny,,,,,torso,,,
,,sprout,skip,,,,,tortoise,,,
,,spud,skirt,,,,,toss,,,
,,spunky,skit,,,,,total,,,
,,spur,skyline,,,,,tote,,,
,,spy,slang,,,,,totem,,,
,,squad,slant,,,,,touchy,,,
,,squadron,slayer,,,,,tough,,,
,,squall,sleek,,,,,toughen,,,
,,square,sleepover,,,,,toupee,,,
,,squash,sleigh,,,,,tour,,,
,,squat,slender,,,,,tourism,,,
,,squawk,slice,,,,,tourist,,,
,,squeak,slick,,,,,tournament,,,
,,squeaky,slicker,,,,,tourniquet,,,
,,squeeze,slider,,,,,tout,,,
,,squid,slight,,,,,tow,,,
,,squint,sling,,,,,towel,,,
,,squire,slinky,,,,,tower,,,
,,squirrel,slipper,,,,,towering,,,
,,squirt,sliver,,,,,town,,,
,,squishy,slogan,,,,,townhouse,,,
,,stabilize,slope,,,,,township,,,
,,stack,slot,,,,,townspeople,,,
,,staff,slouch,,,,,trace,,,
,,stag,slugger,,,,,traceable,,,
,,stage,slump,,,,,tracer,,,
,,stagecoach,slurp,,,,,trachea,,,
,,stagehand,slush,,,,,track,,,
,,stainless,small,,,,,tracker,,,
,,stair,smarten,,,,,tract,,,
,,stairs,smear,,,,,traction,,,
,,stairway,smidgen,,,,,tractor,,,
,,stake,smirk,,,,,trade,,,
,,stamp,smock,,,,,trademark,,,
,,standard,smudge,,,,,trader,,,
,,standardized,snafu,,,,,tradition,,,
,,standpoint,snap,,,,,traditional,,,
,,standup,snapper,,,,,traffic light,,,
,,staple,snappy,,,,,trail,,,
,,star fruit,snare,,,,,trailer,,,
,,starboard,snatch,,,,,train set,,,
,,starch,sniff,,,,,trainee,,,
,,stare,snip,,,,,trainer,,,
,,starlet,snoopy,,,,,training,,,
,,starling,snorkel,,,,,trait,,,
,,starship,snort,,,,,trajectory,,,
,,starter,snout,,,,,tram,,,
,,startle,snowboard,,,,,trampoline,,,
,,stash,snowboarder,,,,,trance,,,
,,stat,snowplow,,,,,tranquilizer,,,
,,statement,soapbox,,,,,transaction,,,
,,stateroom,sobriety,,,,,transatlantic,,,
,,stateside,soccer,,,,,transceiver,,,
,,static,socialist,,,,,transcend,,,
,,statistic,socialite,,,,,transcendent,,,
,,stature,sociology,,,,,transcript,,,
,,status,socket,,,,,transcription,,,
,,statute,soda,,,,,transfer,,,
,,statutory,sodium,,,,,transference,,,
,,steak,softball,,,,,transform,,,
,,stealth,solar,,,,,transformation,,,
,,steam,sole,,,,,transformer,,,
,,steamer,solicitation,,,,,transfusion,,,
,,steaming,solo,,,,,transgression,,,
,,steamship,sonar,,,,,transient,,,
,,steel,sonic,,,,,transistor,,,
,,steep,sonnet,,,,,transit,,,
,,steer,soot,,,,,transition,,,
,,stellar,sophomore,,,,,transitional,,,
,,stem,soprano,,,,,translate,,,
,,stenographer,sorcerer,,,,,translation,,,
,,step,sorcery,,,,,translator,,,
,,stepdaughter,sorority,,,,,transmission,,,
,,stepson,sorry,,,,,transmit,,,
,,sterile,soundtrack,,,,,transmitter,,,
,,sterilize,sour,,,,,transparent,,,
,,stern,source,,,,,transplant,,,
,,sternum,south,,,,,transponder,,,
,,stethoscope,southeast,,,,,transport,,,
,,stewardess,southpaw,,,,,transportation,,,
,,stick,sovereign,,,,,transporter,,,
,,sticker,sovereignty,,,,,transvestite,,,
,,sticky,soviet,,,,,trapdoor,,,
,,stiff,sow,,,,,trapeze,,,
,,stimulation,spaceman,,,,,trapper,,,
,,stimulus,spacious,,,,,traverse,,,
,,stinger,spade,,,,,tray,,,
,,stint,spaniel,,,,,tread,,,
,,stipend,spar,,,,,treadmill,,,
,,stipulate,spare,,,,,treasury,,,
,,stitch,spatial,,,,,treatable,,,
,,stitching,spatter,,,,,treatment,,,
,,stock,spawn,,,,,treaty,,,
,,stockholder,speak,,,,,tremor,,,
,,stocking,speaker,,,,,trench,,,
,,stockings,spear,,,,,trend,,,
,,stockpile,spec,,,,,trendy,,,
,,stomach,specialist,,,,,triad,,,
,,stomp,specialty,,,,,triage,,,
,,stonewall,species,,,,,triangle,,,
,,stony,specify,,,,,triangulate,,,
,,stop,speck,,,,,triathlon,,,
,,stopover,speckled,,,,,tribal,,,
,,stopper,spectacle,,,,,tribe,,,
,,stopwatch,spectator,,,,,tribunal,,,
,,storage,speculate,,,,,tribune,,,
,,store,speculation,,,,,trick,,,
,,stout,speechless,,,,,trickster,,,
,,stove,spend,,,,,tricky,,,
,,stowaway,spender,,,,,tricycle,,,
,,straddle,sperm,,,,,trident,,,
,,straightforward,sphere,,,,,trifle,,,
,,strange,sphinx,,,,,trifling,,,
,,strap,spin,,,,,trig,,,
,,strapping,spinach,,,,,trigger,,,
,,strategy,spindle,,,,,trillion,,,
,,stratosphere,spinner,,,,,trilogy,,,
,,stray,spinster,,,,,trim,,,
,,streak,splat,,,,,trimester,,,
,,streamline,spleen,,,,,trinket,,,
,,street,splice,,,,,trio,,,
,,streetcar,spokesperson,,,,,tripe,,,
,,streetlight,sponge,,,,,triple,,,
,,stretch,spool,,,,,triplicate,,,
,,stride,spoon,,,,,tripod,,,
,,string,sporting,,,,,trite,,,
,,stringy,sportsman,,,,,trivia,,,
,,stripe,sportswriter,,,,,trivial,,,
,,striped,sporty,,,,,troll,,,
,,strive,spotless,,,,,trolley,,,
,,stroke,spotlight,,,,,trombone,,,
,,stronghold,spreader,,,,,troop,,,
,,structural,spree,,,,,trooper,,,
,,structure,sprite,,,,,trot,,,
,,strudel,sprout,,,,,trough,,,
,,stub,spud,,,,,troupe,,,
,,stubby,spur,,,,,trousers,,,
,,studio,squad,,,,,trout,,,
,,stuff,squadron,,,,,truck,,,
,,stump,squall,,,,,trucker,,,
,,stunner,square,,,,,truckload,,,
,,stunt,squash,,,,,trump,,,
,,styling,squeak,,,,,trumpet,,,
,,stylish,squeaky,,,,,trunk,,,
,,stylist,squeeze,,,,,trustee,,,
,,sub,squid,,,,,trusty,,,
,,subatomic,squint,,,,,try,,,
,,subcommittee,squire,,,,,tryout,,,
,,subconscious,squirrel,,,,,tub,,,
,,subject,squirt,,,,,tuba,,,
,,subjective,squishy,,,,,tubby,,,
,,sublet,stabilize,,,,,tube,,,
,,sublevel,stack,,,,,tubing,,,
,,sublime,stag,,,,,tuck,,,
,,subliminal,stage,,,,,tug,,,
,,submarine,stagecoach,,,,,tugboat,,,
,,submerge,stainless,,,,,tumble,,,
,,submersible,stair,,,,,tumbleweed,,,
